"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 01 01:20:52 GMT 2021","Mon Nov 01 01:21:11 GMT 2021","18791","","Inclusão de produtos Automationpractice","","","","Inclusão de produto no carrinho com escolha de mais produtos",""
"passed","Mon Nov 01 01:20:19 GMT 2021","Mon Nov 01 01:20:43 GMT 2021","23737","","Inclusão de produtos Automationpractice","","","","Inclusão de produto no carrinho com conclusão de pedido",""
"passed","Mon Nov 01 01:20:43 GMT 2021","Mon Nov 01 01:20:52 GMT 2021","9559","","Inclusão de produtos Automationpractice","","","","Inclusão de um produto no carrinho com exclusão de produto",""
"passed","Mon Nov 01 01:21:29 GMT 2021","Mon Nov 01 01:21:49 GMT 2021","20312","","","","","","Inclusão de produtos no cartrinho, inserindo resultados em uma planilha",""
